131410146,SMA-12-IPS1-2016
141510002,SMA-12-IPA4-2016
141510003,SMA-12-IPA2-2016
141510004,SMA-12-IPA3-2016
141510005,SMA-12-IPA3-2016
141510006,SMA-12-IPA4-2016
141510008,SMA-12-IPA1-2016
141510009,SMA-12-IPA4-2016
141510010,SMA-12-IPA1-2016
141510011,SMA-12-IPA5-2016
141510012,SMA-12-IPA5-2016
141510013,SMA-12-IPA5-2016
141510014,SMA-12-IPA5-2016
141510015,SMA-12-IPA2-2016
141510016,SMA-12-IPA3-2016
141510017,SMA-12-IPA5-2016
141510018,SMA-12-IPS2-2016
141510019,SMA-12-IPA1-2016
141510020,SMA-12-IPA1-2016
141510021,SMA-12-IPA2-2016
141510022,SMA-12-IPA2-2016
141510023,SMA-12-IPA1-2016
141510024,SMA-12-IPA3-2016
141510025,SMA-12-IPA3-2016
141510026,SMA-12-IPA3-2016
141510027,SMA-12-IPA2-2016
141510028,SMA-12-IPA1-2016
141510029,SMA-12-IPA1-2016
141510030,SMA-12-IPA1-2016
141510031,SMA-12-IPA2-2016
141510033,SMA-12-IPA4-2016
141510034,SMA-12-IPA2-2016
141510035,SMA-12-IPA4-2016
141510036,SMA-12-IPA1-2016
141510037,SMA-12-IPA2-2016
141510038,SMA-12-IPA2-2016
141510039,SMA-12-IPA1-2016
141510040,SMA-12-IPA2-2016
141510041,SMA-12-IPA3-2016
141510042,SMA-12-IPA4-2016
141510043,SMA-12-IPA4-2016
141510044,SMA-12-IPA1-2016
141510045,SMA-12-IPA2-2016
141510046,SMA-12-IPA4-2016
141510047,SMA-12-IPS3-2016
141510048,SMA-12-IPA4-2016
141510050,SMA-12-IPA4-2016
141510051,SMA-12-IPA2-2016
141510052,SMA-12-IPA4-2016
141510053,SMA-12-IPA1-2016
141510054,SMA-12-IPA1-2016
141510055,SMA-12-IPA1-2016
141510056,SMA-12-IPA1-2016
141510057,SMA-12-IPA1-2016
141510059,SMA-12-IPA5-2016
141510060,SMA-12-IPA1-2016
141510061,SMA-12-IPA1-2016
141510062,SMA-12-IPA3-2016
141510063,SMA-12-IPA3-2016
141510065,SMA-12-IPA5-2016
141510066,SMA-12-IPA4-2016
141510067,SMA-12-IPA3-2016
141510068,SMA-12-IPA3-2016
141510069,SMA-12-IPA5-2016
141510070,SMA-12-IPA5-2016
141510071,SMA-12-IPA1-2016
141510072,SMA-12-IPA1-2016
141510074,SMA-12-IPA2-2016
141510075,SMA-12-IPA5-2016
141510076,SMA-12-IPA1-2016
141510077,SMA-12-IPA4-2016
141510078,SMA-12-IPA5-2016
141510079,SMA-12-IPA1-2016
141510080,SMA-12-IPA5-2016
141510081,SMA-12-IPA4-2016
141510082,SMA-12-IPA1-2016
141510083,SMA-12-IPA2-2016
141510084,SMA-12-IPA5-2016
141510085,SMA-12-IPA2-2016
141510086,SMA-12-IPS3-2016
141510087,SMA-12-IPA5-2016
141510088,SMA-12-IPA1-2016
141510089,SMA-12-IPA1-2016
141510090,SMA-12-IPA5-2016
141510091,SMA-12-IPA4-2016
141510092,SMA-12-IPA3-2016
141510093,SMA-12-IPA3-2016
141510094,SMA-12-IPA4-2016
141510095,SMA-12-IPA2-2016
141510096,SMA-12-IPA2-2016
141510097,SMA-12-IPA3-2016
141510099,SMA-12-IPA5-2016
141510100,SMA-12-IPA2-2016
141510101,SMA-12-IPA3-2016
141510102,SMA-12-IPA1-2016
141510103,SMA-12-IPA3-2016
141510104,SMA-12-IPA1-2016
141510105,SMA-12-IPA3-2016
141510106,SMA-12-IPA3-2016
141510107,SMA-12-IPA3-2016
141510108,SMA-12-IPA2-2016
141510109,SMA-12-IPA3-2016
141510110,SMA-12-IPA3-2016
141510111,SMA-12-IPA5-2016
141510112,SMA-12-IPA3-2016
141510113,SMA-12-IPA2-2016
141510114,SMA-12-IPA3-2016
141510115,SMA-12-IPA4-2016
141510116,SMA-12-IPA3-2016
141510117,SMA-12-IPA1-2016
141510119,SMA-12-IPS2-2016
141510121,SMA-12-IPA3-2016
141510122,SMA-12-IPA2-2016
141510123,SMA-12-IPA2-2016
141510125,SMA-12-IPA4-2016
141510126,SMA-12-IPA4-2016
141510127,SMA-12-IPA1-2016
141510128,SMA-12-IPA3-2016
141510130,SMA-12-IPA3-2016
141510131,SMA-12-IPA3-2016
141510132,SMA-12-IPA4-2016
141510133,SMA-12-IPA3-2016
141510134,SMA-12-IPA3-2016
141510135,SMA-12-IPA5-2016
141510136,SMA-12-IPA5-2016
141510137,SMA-12-IPA5-2016
141510138,SMA-12-IPA4-2016
141510139,SMA-12-IPA3-2016
141510140,SMA-12-IPA4-2016
141510141,SMA-12-IPA2-2016
141510142,SMA-12-IPA1-2016
141510143,SMA-12-IPA5-2016
141510144,SMA-12-IPA2-2016
141510145,SMA-12-IPA5-2016
141510146,SMA-12-IPA3-2016
141510147,SMA-12-IPA5-2016
141510148,SMA-12-IPA5-2016
141510149,SMA-12-IPA4-2016
141510150,SMA-12-IPA2-2016
141510151,SMA-12-IPA5-2016
141510152,SMA-12-IPA3-2016
141510153,SMA-12-IPA3-2016
141510154,SMA-12-IPA5-2016
141510155,SMA-12-IPA2-2016
141510156,SMA-12-IPA5-2016
141510157,SMA-12-IPA2-2016
141510158,SMA-12-IPA5-2016
141510159,SMA-12-IPA5-2016
141510160,SMA-12-IPA5-2016
141510161,SMA-12-IPA2-2016
141510162,SMA-12-IPA3-2016
141510163,SMA-12-IPA3-2016
141510164,SMA-12-IPA4-2016
141510165,SMA-12-IPA5-2016
141510166,SMA-12-IPA2-2016
141510167,SMA-12-IPA5-2016
141510168,SMA-12-IPA2-2016
141510169,SMA-12-IPA4-2016
141510170,SMA-12-IPA4-2016
141510171,SMA-12-IPA4-2016
141510172,SMA-12-IPA1-2016
141510173,SMA-12-IPA2-2016
141510174,SMA-12-IPA4-2016
141510175,SMA-12-IPA1-2016
141510176,SMA-12-IPA2-2016
141510177,SMA-12-IPA1-2016
