A027,161710272,SMA-10-IPS3-2016
A234,161710057,SMA-10-IPA2-2016
A273,161710200,SMA-10-IPS1-2016
A369,161710165,SMA-10-IPA5-2016
A276,161710130,SMA-10-IPA4-2016
A220,161710234,SMA-10-IPS2-2016
A353,161710090,SMA-10-IPA3-2016
A188,161710166,SMA-10-IPA5-2016
A252,161710273,SMA-10-IPS3-2016
A402,161710201,SMA-10-IPS1-2016
A014,161710235,SMA-10-IPS2-2016
A097,161710274,SMA-10-IPS3-2016
A134,161710131,SMA-10-IPA4-2016
A105,161710167,SMA-10-IPA5-2016
A381,161710168,SMA-10-IPA5-2016
A293,161710018,SMA-10-IPA1-2016
A312,161710132,SMA-10-IPA4-2016
A254,161710133,SMA-10-IPA4-2016
A389,161710202,SMA-10-IPS1-2016
A247,161710019,SMA-10-IPA1-2016
A142,161710091,SMA-10-IPA3-2016
A111,161710275,SMA-10-IPS3-2016
A379,161710058,SMA-10-IPA2-2016
A303,161710203,SMA-10-IPS1-2016
A146,161710169,SMA-10-IPA5-2016
A001,161710236,SMA-10-IPS2-2016
A203,161710059,SMA-10-IPA2-2016
A367,161710092,SMA-10-IPA3-2016
A190,161710276,SMA-10-IPS3-2016
A384,161710060,SMA-10-IPA2-2016
A346,161710204,SMA-10-IPS1-2016
A238,161710237,SMA-10-IPS2-2016
A374,161710061,SMA-10-IPA2-2016
A240,161710134,SMA-10-IPA4-2016
A326,161710170,SMA-10-IPA5-2016
A394,161710205,SMA-10-IPS1-2016
A355,161710093,SMA-10-IPA3-2016
A192,161710206,SMA-10-IPS1-2016
A217,161710062,SMA-10-IPA2-2016
A116,161710238,SMA-10-IPS2-2016
A231,161710277,SMA-10-IPS3-2016
A261,161710239,SMA-10-IPS2-2016
A288,161710020,SMA-10-IPA1-2016
A309,161710021,SMA-10-IPA1-2016
A091,161710022,SMA-10-IPA1-2016
A011,161710278,SMA-10-IPS3-2016
A202,161710240,SMA-10-IPS2-2016
A216,161710094,SMA-10-IPA3-2016
A004,161710207,SMA-10-IPS1-2016
A387,161710241,SMA-10-IPS2-2016
A003,161710095,SMA-10-IPA3-2016
A336,161710135,SMA-10-IPA4-2016
A359,161710023,SMA-10-IPA1-2016
A191,161710242,SMA-10-IPS2-2016
A241,161710208,SMA-10-IPS1-2016
